23/7/2020	$ 9.508,16	$ 264,24	$ 45,04	$ 71,18
22/7/2020	$ 9.367,03	$ 244,67	$ 43,95	$ 70,09
21/7/2020	$ 9.180,60	$ 237,04	$ 42,33	$ 70,00
20/7/2020	$ 9.190,28	$ 238,82	$ 42,68	$ 69,55
19/7/2020	$ 9.159,37	$ 235,08	$ 42,33	$ 68,11
18/7/2020	$ 9.139,76	$ 233,05	$ 41,90	$ 67,49
17/7/2020	$ 9.115,40	$ 233,11	$ 41,98	$ 67,45
16/7/2020	$ 9.195,58	$ 238,21	$ 43,16	$ 71,24
15/7/2020	$ 9.233,80	$ 239,20	$ 43,49	$ 67,73
14/7/2020	$ 9.216,31	$ 238,64	$ 43,45	$ 68,39
13/7/2020	$ 9.273,41	$ 241,66	$ 44,64	$ 69,61
12/7/2020	$ 9.276,42	$ 240,98	$ 45,07	$ 69,54
11/7/2020	$ 9.266,92	$ 240,53	$ 44,40	$ 67,82
10/7/2020	$ 9.217,94	$ 240,39	$ 44,23	$ 66,34
9/7/2020	$ 9.388,99	$ 244,92	$ 44,89	$ 65,84
8/7/2020	$ 9.305,82	$ 241,70	$ 44,75	$ 65,75
7/7/2020	$ 9.298,26	$ 239,36	$ 43,76	$ 64,50
6/7/2020	$ 9.093,19	$ 228,12	$ 41,75	$ 63,17
5/7/2020	$ 9.135,07	$ 228,31	$ 41,86	$ 64,40
4/7/2020	$ 9.087,39	$ 226,17	$ 41,62	$ 63,55
3/7/2020	$ 9.093,86	$ 226,42	$ 41,19	$ 65,09
2/7/2020	$ 9.243,59	$ 231,08	$ 41,66	$ 64,77
1/7/2020	$ 9.137,59	$ 225,41	$ 41,25	$ 63,87
30/6/2020	$ 9.162,95	$ 227,65	$ 41,67	$ 64,16
29/6/2020	$ 9.098,01	$ 224,43	$ 41,11	$ 63,17
28/6/2020	$ 8.970,62	$ 219,22	$ 40,78	$ 62,36
27/6/2020	$ 9.155,11	$ 229,48	$ 42,82	$ 64,83
26/6/2020	$ 9.240,06	$ 232,13	$ 42,37	$ 64,29
25/6/2020	$ 9.087,63	$ 229,40	$ 41,94	$ 63,71
24/6/2020	$ 9.645,90	$ 245,73	$ 44,29	$ 67,15
23/6/2020	$ 9.653,11	$ 242,72	$ 44,14	$ 65,94
22/6/2020	$ 9.381,18	$ 234,21	$ 43,54	$ 65,63
21/6/2020	$ 9.370,97	$ 229,60	$ 43,49	$ 64,63
20/6/2020	$ 9.325,60	$ 230,14	$ 43,05	$ 64,42
19/6/2020	$ 9.269,68	$ 227,43	$ 42,97	$ 63,53
18/6/2020	$ 9.421,88	$ 233,39	$ 43,90	$ 65,62
17/6/2020	$ 9.454,76	$ 232,91	$ 43,68	$ 65,74
16/6/2020	$ 9.568,43	$ 233,31	$ 44,01	$ 65,33
15/6/2020	$ 9.153,97	$ 225,46	$ 43,01	$ 63,92
14/6/2020	$ 9.434,33	$ 237,61	$ 44,69	$ 66,17
13/6/2020	$ 9.412,02	$ 235,64	$ 44,42	$ 65,35
12/6/2020	$ 9.353,68	$ 233,35	$ 43,55	$ 64,20
11/6/2020	$ 9.896,48	$ 248,44	$ 46,63	$ 69,65
10/6/2020	$ 9.759,75	$ 243,76	$ 45,84	$ 67,55
9/6/2020	$ 9.683,45	$ 243,27	$ 46,00	$ 67,81
8/6/2020	$ 9.725,87	$ 244,13	$ 46,68	$ 66,58
7/6/2020	$ 9.686,03	$ 242,82	$ 46,72	$ 67,88
6/6/2020	$ 9.628,50	$ 240,30	$ 46,64	$ 67,57
5/6/2020	$ 9.788,16	$ 243,66	$ 47,47	$ 68,48
4/6/2020	$ 9.670,86	$ 245,62	$ 48,03	$ 67,73
3/6/2020	$ 9.489,30	$ 236,11	$ 45,83	$ 66,40
2/6/2020	$ 10.094,94	$ 247,25	$ 48,62	$ 68,11
1/6/2020	$ 9.549,13	$ 238,54	$ 46,26	$ 65,63
31/5/2020	$ 9.586,92	$ 237,41	$ 46,40	$ 66,73
30/5/2020	$ 9.385,01	$ 222,33	$ 44,69	$ 65,81
29/5/2020	$ 9.520,11	$ 221,73	$ 44,92	$ 67,25
28/5/2020	$ 9.167,98	$ 207,34	$ 43,62	$ 64,02
27/5/2020	$ 8.834,21	$ 201,79	$ 42,43	$ 62,06
26/5/2020	$ 8.906,21	$ 204,11	$ 42,88	$ 62,20
25/5/2020	$ 8.787,37	$ 202,25	$ 42,64	$ 61,04
24/5/2020	$ 9.198,95	$ 209,08	$ 44,24	$ 63,38
23/5/2020	$ 9.293,48	$ 209,86	$ 44,42	$ 63,59
